data,genero,localidade,salario
**/**/****,*,"**,**, Canada",$6289.41
**/**/****,*,"**,**, Canada",$2894.36
**/**/****,*,"**,**, Canada",$4627.92
**/**/****,*,"**,**, Canada",$4094.94
**/**/****,*,"**,**, Canada",$983.67
**/**/****,*,"**,**, Canada",$4100.69
**/**/****,*,"**,**, Canada",$7209.03
**/**/****,*,"**,**, Canada",$7913.17
**/**/****,*,"**,**, Canada",$7292.50
**/**/****,*,"**,**, Canada",$6642.44
**/**/****,*,"**,**, Canada",$7376.21
**/**/****,*,"**,**, Canada",$1129.83
**/**/****,*,"**,**, Canada",$4240.55
**/**/****,*,"**,**, Canada",$5727.15
**/**/****,*,"**,**, Canada",$5677.54
**/**/****,*,"**,**, Canada",$6383.39
**/**/****,*,"**,**, Canada",$1319.03
**/**/****,*,"**,**, Canada",$7096.91
**/**/****,*,"**,**, Canada",$5974.55
**/**/****,*,"**,**, Canada",$3027.02
**/**/****,*,"**,**, Canada",$1786.57
**/**/****,*,"**,**, Canada",$4511.71
**/**/****,*,"**,**, Canada",$979.70
**/**/****,*,"**,**, Canada",$5469.92
**/**/****,*,"**,**, Canada",$4501.34
**/**/****,*,"**,**, Canada",$4910.20
**/**/****,*,"**,**, Canada",$2454.18
**/**/****,*,"**,**, Canada",$7760.58
**/**/****,*,"**,**, Canada",$3613.73
**/**/****,*,"**,**, Canada",$6593.84
**/**/****,*,"**,**, Canada",$3401.73
**/**/****,*,"**,**, Canada",$7082.80
**/**/****,*,"**,**, Canada",$6095.84
**/**/****,*,"**,**, Canada",$2465.50
**/**/****,*,"**,**, Canada",$1693.13
**/**/****,*,"**,**, Canada",$7816.91
**/**/****,*,"**,**, Canada",$5453.13
**/**/****,*,"**,**, Canada",$1611.63
**/**/****,*,"**,**, Canada",$5790.08
**/**/****,*,"**,**, Canada",$3407.45
**/**/****,*,"**,**, Canada",$4938.67
**/**/****,*,"**,**, Canada",$4468.31
**/**/****,*,"**,**, Canada",$4675.13
**/**/****,*,"**,**, Canada",$3993.28
**/**/****,*,"**,**, Canada",$7060.60
**/**/****,*,"**,**, Canada",$4234.16
